"uri","geo_long","geo_lat","clase","rdfs_label","tieneEnlaceSIG"
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/20-iglesia-santiago",-6.36914,39.4762,"IGLESIA ","Santiago","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1166 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/21-torre-ochavada",-6.36865,39.4746,"TORRE ","Ochavada","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1213 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/22-monumento-muralla-arabe-este",-6.3687,39.4745,"MONUMENTO ","Muralla Arabe Este","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2101 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/23-torre-de-caleros",-6.36874,39.4742,"TORRE ","de Caleros","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1214 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/24-torre-de-espaderos",-6.36978,39.4752,"TORRE ","de Espaderos","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1180 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/25-arco-puerta-de-coria",-6.36971,39.4753,"ARCO ","Puerta de Coria","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2104 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/26-palacio-de-carvajal",-6.36983,39.4749,"PALACIO ","de Carvajal","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1182 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/27-torre-de-carvajal",-6.36978,39.4747,"TORRE ","de Carvajal","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1183 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/28-palacio-de-ovando,mogollon,perero-y-paredes",-6.37022,39.475,"PALACIO ","de Ovando,Mogollon,Perero y Paredes","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1181 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/29-concatedral-de-santa-maria",-6.37013,39.4746,"CONCATEDRAL ","de Santa Maria","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1163 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/3-monumento-plaza-de-toros",-6.37551,39.4803,"MONUMENTO ","Plaza de Toros","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1232 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/30-palacio-episcopal",-6.37057,39.4748,"PALACIO ","Episcopal","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1168 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/31-palacio-de-mayoralgo",-6.37062,39.4746,"PALACIO ","de Mayoralgo","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1171 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/32-casa-de-moraga",-6.37065,39.4744,"CASA ","de Moraga","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1186 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/33-casa-de-los-duques-de-valencia",-6.37051,39.4743,"CASA ","de los Duques de Valencia","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1185 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/34-palacio-de-los-golfines-de-abajo",-6.36998,39.4741,"PALACIO ","de los Golfines de Abajo","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1184 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/35-casa-de-los-becerra",-6.37043,39.4739,"CASA ","de los Becerra","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1170 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/36-casa-de-los-ribera",-6.37126,39.4743,"CASA ","de los Ribera","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1187 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/37-torre-del-horno",-6.37183,39.4741,"TORRE ","del Horno","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1193 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/38-casa-del-mono-o-de-espadero-pizarro",-6.37095,39.4739,"CASA ","del Mono o de Espadero-Pizarro","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1188 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/39-torre-del-cristo",-6.36902,39.4735,"TORRE ","del Cristo","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1228 "
